order_item_id,order_id,product_id,quantity,unit_price
1,3404,17,5,80.36
2,2697,57,1,125.01
3,982,20,5,178.91
4,3857,24,4,123.15
5,1577,169,3,296.59
6,4079,13,3,120.73
7,688,118,3,157.46
8,2864,138,3,41.38
9,2510,89,3,230.55
10,1162,28,2,147.17
11,4122,57,2,226.1
12,3458,155,5,365.55
13,4226,194,2,305.67
14,250,169,4,241.07
15,3994,154,4,24.05
16,4946,179,2,387.71
17,4043,182,1,466.28
18,2814,167,4,33.16
19,3327,114,5,201.18
20,1932,24,3,394.57
21,1126,76,5,75.31
22,2450,127,3,27.46
23,3426,198,2,361.04
24,146,24,4,194.01
25,856,175,2,301.16
26,4015,26,3,174.03
27,1948,130,1,29.13
28,1552,79,4,467.43
29,1213,130,2,220.8
30,4681,19,3,79.72
31,3915,92,3,364.33
32,1500,153,3,377.2
33,1348,150,4,211.8
34,2533,70,5,371.74
35,4355,33,3,231.79
36,3630,143,4,268.54
37,1045,55,1,91.31
38,4210,35,5,163.05
39,836,89,2,279.22
40,1825,171,4,444.0
41,4476,173,5,357.63
42,4682,100,3,192.68
43,4817,27,1,282.71
44,1065,36,3,420.17
45,4569,99,5,392.89
46,572,117,4,151.22
47,301,41,5,355.98
48,4134,185,5,205.98
49,4682,102,1,330.46
50,4172,29,5,103.93
51,4427,10,4,282.2
52,2768,188,3,111.41
53,3045,93,5,283.59
54,793,112,5,447.98
55,4706,154,2,73.26
56,2339,118,1,249.8
57,1426,165,2,132.31
58,3333,68,3,43.72
59,3236,132,3,91.04
60,165,11,4,15.27
61,3530,92,4,301.39
62,4019,30,4,181.42
63,2564,11,2,98.7
64,4998,178,3,90.26
65,1664,15,5,451.02
66,2403,27,5,143.91
67,4700,33,1,198.78
68,2219,79,1,192.29
69,4239,174,2,375.71
70,3099,2,4,218.64
71,2805,4,2,15.32
72,1686,190,4,275.25
73,2747,96,1,374.8
74,4215,178,2,77.01
75,4973,123,2,414.81
76,2308,152,5,173.72
77,4886,151,1,308.05
78,3531,23,5,337.96
79,654,172,4,59.95
80,3868,63,2,55.55
81,965,12,2,447.86
82,1806,185,4,484.65
83,3737,83,1,271.14
84,2470,97,1,256.85
85,1500,119,2,202.61
86,4684,30,3,493.7
87,4806,125,3,172.96
88,741,115,2,110.26
89,904,103,4,18.45
90,3343,134,4,306.8
91,2582,149,4,279.96
92,2911,127,1,483.86
93,1684,126,2,475.09
94,1448,170,5,54.12
95,4596,43,5,30.93
96,633,31,5,80.56
97,1251,123,5,268.39
98,3505,113,4,312.28
99,3319,59,3,77.53
100,3848,17,3,389.68
101,4350,99,5,395.82
102,1441,55,4,61.34
103,2239,59,2,120.09
104,3360,57,2,469.83
105,4754,138,1,408.5
106,1733,50,2,403.99
107,2226,23,1,285.31
108,3952,56,4,13.31
109,4955,96,3,338.75
110,1133,126,3,192.15
111,1298,58,2,15.99
112,4397,145,3,325.48
113,2441,176,3,47.25
114,3768,8,3,140.45
115,1060,198,2,165.99
116,4884,25,1,295.23
117,943,97,1,381.01
118,4447,174,4,360.48
119,1477,77,4,107.76
120,1774,155,2,175.53
121,654,125,2,347.66
122,2211,17,5,167.28
123,4696,53,2,153.06
124,844,101,5,460.8
125,4805,68,1,57.03
126,3168,141,2,455.5
127,1236,115,1,162.05
128,2930,174,2,463.73
129,3922,149,1,345.95
130,4503,4,1,85.74
131,4629,192,3,72.55
132,127,23,1,250.53
133,4325,82,1,127.41
134,2130,118,2,444.81
135,205,80,1,426.42
136,1401,107,5,146.66
