order_id,user_id,order_date,status
1,186,2026-03-06,pending
2,714,2025-07-19,shipped
3,15,2026-01-07,pending
4,414,2025-11-09,pending
5,705,2025-12-05,shipped
6,832,2025-10-10,completed
7,465,2025-07-20,shipped
8,780,2025-04-17,completed
9,268,2025-11-20,completed
10,725,2025-07-30,shipped
11,759,2025-07-01,pending
12,110,2026-02-15,shipped
13,154,2025-04-03,pending
14,771,2026-01-13,pending
15,245,2025-09-01,completed
16,247,2025-10-14,completed
17,762,2026-02-15,pending
18,414,2025-08-30,pending
19,311,2025-08-03,shipped
20,319,2025-09-25,shipped
21,338,2026-02-06,pending
22,382,2025-05-13,pending
23,708,2026-02-18,pending
24,208,2026-02-07,pending
25,115,2025-07-19,completed
26,679,2025-03-12,shipped
27,115,2025-04-15,pending
28,43,2025-11-22,pending
29,688,2025-12-06,completed
30,516,2025-04-08,pending
31,357,2025-11-14,shipped
32,977,2025-07-01,completed
33,129,2025-09-29,completed
34,423,2025-07-08,pending
35,972,2025-08-24,shipped
36,706,2025-05-08,completed
37,884,2025-10-16,shipped
38,623,2025-04-11,pending
39,941,2025-06-08,pending
40,305,2026-01-17,pending
41,566,2026-03-11,pending
42,790,2025-06-28,shipped
43,328,2025-06-01,pending
44,97,2025-04-05,completed
45,183,2025-03-18,completed
46,828,2026-02-24,pending
47,992,2025-12-30,shipped
48,758,2025-09-26,shipped
49,66,2025-07-21,pending
50,181,2025-10-27,shipped
51,236,2025-08-26,pending
52,619,2026-01-23,pending
53,658,2026-02-04,shipped
54,394,2025-05-22,shipped
55,895,2025-11-17,completed
56,466,2025-08-08,completed
57,825,2025-12-17,shipped
58,268,2026-01-17,pending
59,999,2025-05-28,shipped
60,638,2026-02-14,completed
61,670,2025-07-09,pending
62,793,2025-03-19,shipped
63,471,2025-06-04,pending
64,666,2025-04-17,completed
65,597,2025-12-11,pending
66,93,2025-12-07,pending
67,216,2025-12-14,pending
68,466,2025-10-15,shipped
69,343,2025-05-25,shipped
70,51,2025-06-11,pending
71,792,2025-12-17,completed
72,614,2025-06-25,pending
73,299,2025-10-18,pending
74,548,2025-06-27,completed
75,745,2025-09-12,pending
76,643,2025-06-11,shipped
77,675,2025-07-13,pending
78,217,2025-05-20,shipped
79,421,2025-12-17,pending
80,709,2026-02-24,shipped
81,605,2025-08-13,pending
82,803,2025-09-19,completed
83,443,2025-12-04,completed
84,286,2025-08-23,shipped
85,647,2025-08-19,completed
86,704,2026-02-25,completed
87,448,2025-11-07,completed
88,53,2025-12-08,completed
89,853,2025-12-11,completed
90,564,2026-02-16,pending
91,578,2025-05-06,pending
92,224,2025-07-18,shipped
93,917,2025-06-22,completed
94,594,2025-07-10,pending
95,916,2025-04-26,pending
96,789,2025-11-21,completed
97,615,2026-03-06,pending
98,916,2026-02-10,shipped
99,52,2025-11-12,completed
100,782,2025-05-09,shipped
101,143,2026-02-08,pending
102,843,2025-09-18,shipped
103,421,2025-08-31,completed
104,217,2026-01-13,completed
105,918,2026-02-09,completed
106,472,2025-09-15,completed
107,540,2025-03-14,completed
108,43,2025-11-11,completed
109,617,2025-11-14,pending
110,358,2025-04-07,completed
111,934,2026-01-21,pending
112,680,2025-10-01,completed
113,887,2025-05-09,pending
114,481,2025-04-12,shipped
115,957,2025-12-18,pending
116,598,2025-10-25,completed
117,308,2025-05-15,pending
118,132,2025-10-25,pending
119,430,2025-04-05,pending
120,606,2026-02-09,completed
121,639,2025-06-01,completed
122,593,2025-10-03,pending
123,144,2025-07-18,shipped
124,963,2025-04-08,shipped
125,9,2025-04-09,shipped
126,936,2025-08-17,pending
127,39,2025-07-31,shipped
128,997,2025-11-10,shipped
129,607,2025-06-18,pending
130,884,2025-04-09,pending
131,201,2026-02-12,shipped
132,689,2025-03-26,completed
133,556,2025-03-18,pending
134,179,2025-07-15,pending
135,86,2025-09-04,pending
136,321,2025-06-24,completed
137,103,2025-07-16,shipped
138,351,2025-08-07,pending
139,5,2025-07-20,shipped
140,167,2025-08-18,completed
141,517,2025-03-27,shipped
142,609,2026-03-06,shipped
143,251,2025-12-24,pending
144,36,2026-02-19,shipped
145,271,2026-02-03,pending
146,953,2025-05-12,pending
147,327,2025-07-17,completed
148,764,2025-04-29,pending
149,226,2026-02-23,completed
150,202,2026-02-06,pending
151,763,2025-11-19,shipped
152,44,2025-09-06,shipped
153,248,2025-03-20,completed
154,192,2025-10-28,completed
155,469,2025-09-15,pending
156,121,2025-04-27,completed
157,465,2026-01-11,shipped
158,135,2026-02-21,shipped
159,858,2025-03-16,completed
160,863,2026-02-23,shipped
161,67,2025-12-30,completed
162,303,2025-06-15,pending
163,300,2025-11-07,pending
164,411,2025-04-30,shipped
165,530,2025-09-29,completed
166,119,2025-09-15,shipped
167,525,2025-04-15,pending
168,981,2025-06-28,completed
169,870,2025-06-29,completed
170,324,2025-03-11,shipped
171,864,2025-07-14,completed
172,502,2025-10-30,shipped
173,158,2025-12-05,shipped
174,795,2025-04-06,shipped
175,134,2025-08-31,pending
176,95,2025-03-31,pending
177,464,2026-01-21,shipped
178,283,2025-09-25,completed
179,115,2026-01-21,pending
180,772,2026-02-03,completed
181,229,2026-02-12,completed
182,589,2026-03-10,pending
183,163,2025-12-28,shipped
184,722,2025-07-24,completed
185,301,2025-05-03,shipped
186,712,2025-10-05,pending
187,797,2025-07-04,completed
188,757,2025-07-23,completed
189,428,2025-06-26,shipped
190,652,2026-02-10,completed
191,487,2026-03-09,completed
192,311,2025-03-28,shipped
193,516,2026-01-14,shipped
194,975,2026-03-01,shipped
195,654,2025-08-22,completed
196,371,2025-05-16,shipped
197,227,2025-09-30,shipped
198,253,2025-09-22,completed
199,793,2025-06-15,shipped
200,783,2026-01-06,shipped
201,854,2025-10-05,pending
202,309,2025-04-27,completed
203,832,2025-06-30,pending
204,640,2025-08-10,pending
205,263,2025-09-16,completed
206,224,2025-05-19,pending
207,1,2025-12-26,completed
208,7,2025-07-12,completed
209,936,2025-04-19,completed
210,862,2025-10-05,shipped
211,986,2025-06-20,completed
212,3,2025-12-24,completed
213,612,2025-11-26,pending
214,401,2025-10-14,shipped
215,61,2026-03-07,pending
216,177,2025-09-22,shipped
217,989,2026-03-11,shipped
218,312,2025-07-28,completed
219,937,2025-05-14,completed
220,107,2025-08-26,shipped
221,51,2025-09-10,shipped
222,655,2025-08-11,pending
223,707,2025-05-02,completed
224,938,2026-01-25,pending
225,649,2025-04-15,pending
226,133,2025-11-04,pending
227,256,2025-05-11,pending
228,465,2025-08-12,shipped
229,897,2025-04-04,pending
230,944,2025-04-16,completed
231,168,2026-02-12,shipped
232,838,2025-10-10,completed
233,321,2025-06-26,shipped
234,680,2025-06-12,shipped
235,207,2025-10-27,completed
236,622,2025-06-14,shipped
237,275,2025-11-16,shipped
238,757,2025-11-02,completed
239,575,2025-10-13,shipped
240,257,2025-09-12,completed
241,982,2025-10-18,completed
242,348,2026-01-09,shipped
243,272,2025-10-31,shipped
244,148,2025-08-24,shipped
245,436,2025-12-29,completed
246,301,2025-10-11,completed
247,338,2026-02-09,shipped
248,367,2026-03-01,completed
249,28,2026-02-15,completed
250,177,2025-12-05,pending
251,565,2025-12-16,completed
252,499,2026-01-31,pending
253,398,2025-04-02,shipped
254,370,2025-03-23,completed
255,423,2025-12-25,pending
256,680,2026-01-08,shipped
257,667,2025-07-15,completed
258,290,2025-11-15,shipped
259,846,2025-12-11,pending
260,801,2025-09-13,shipped
261,289,2025-06-08,completed
262,125,2025-11-12,pending
263,144,2025-09-17,pending
264,612,2025-04-13,completed
265,287,2026-03-03,completed
266,615,2025-06-06,pending
267,163,2025-03-13,shipped
268,53,2025-06-15,shipped
269,758,2025-11-27,shipped
270,961,2025-12-21,completed
271,481,2026-02-08,pending
272,253,2025-07-01,completed
273,369,2026-01-31,pending
274,543,2026-01-10,completed
275,614,2025-06-12,shipped
276,132,2026-02-01,shipped
277,2,2025-11-30,shipped
278,796,2025-07-13,completed
279,920,2025-07-27,pending
280,59,2025-05-28,shipped
281,355,2026-02-20,pending
282,956,2026-02-06,shipped
283,464,2025-07-10,completed
284,528,2025-08-28,pending
285,574,2025-06-09,shipped
286,494,2025-05-21,pending
287,89,2025-08-06,completed
288,317,2026-01-02,shipped
289,104,2025-09-17,shipped
290,366,2025-07-30,pending
291,696,2025-08-06,shipped
292,753,2025-07-05,completed
293,240,2025-11-25,completed
294,109,2025-04-12,completed
295,399,2025-05-11,pending
296,485,2025-11-16,completed
297,885,2025-03-30,pending
298,288,2025-05-21,shipped
299,359,2025-10-02,completed
300,52,2026-01-24,pending
301,643,2025-04-28,pending
302,626,2025-12-19,pending
303,756,2026-03-07,pending
304,560,2026-01-29,shipped
305,300,2025-10-07,shipped
306,441,2026-03-08,completed
307,190,2026-03-03,completed
308,810,2025-10-23,shipped
309,586,2026-01-31,completed
310,374,2025-07-08,completed
311,576,2025-07-06,pending
312,394,2025-09-05,shipped
313,27,2025-12-12,shipped
314,907,2025-11-07,completed
315,263,2025-04-01,shipped
316,39,2025-05-05,shipped
317,230,2026-01-29,pending
318,539,2025-07-08,completed
319,590,2026-02-08,completed
320,653,2025-05-28,completed
321,95,2025-10-19,pending
322,119,2025-10-06,shipped
323,631,2025-03-29,completed
324,165,2026-02-18,shipped
325,713,2025-08-26,completed
326,823,2025-08-05,pending
327,159,2025-06-14,shipped
328,373,2025-07-15,completed
329,15,2025-05-10,pending
330,50,2026-01-06,pending
331,606,2026-01-29,completed
332,485,2025-03-31,completed
333,539,2025-05-21,completed
334,604,2025-09-24,shipped
335,667,2025-06-16,pending
336,969,2025-12-10,pending
337,717,2026-01-30,shipped
338,297,2025-12-03,pending
339,785,2025-09-22,shipped
340,435,2025-11-29,pending
341,374,2025-06-25,pending
342,936,2025-06-01,pending
343,176,2025-10-07,completed
344,70,2025-12-07,pending
345,573,2025-04-29,shipped
346,19,2025-06-10,pending
347,237,2026-02-18,completed
348,652,2026-01-28,pending
349,67,2025-12-06,shipped
350,719,2025-09-25,shipped
351,133,2026-02-01,pending
352,142,2026-02-28,shipped
353,252,2026-02-22,shipped
354,850,2025-04-12,pending
355,375,2025-09-13,completed
356,718,2025-06-06,completed
357,3,2025-12-10,shipped
358,453,2025-04-28,shipped
359,208,2026-01-18,shipped
360,545,2025-05-21,pending
361,355,2025-05-22,completed
362,985,2025-03-21,completed
363,27,2025-12-14,shipped
364,488,2026-01-24,shipped
365,668,2025-11-17,shipped
366,474,2025-07-10,pending
367,69,2025-09-05,pending
368,939,2025-06-11,shipped
369,461,2025-11-02,shipped
370,516,2026-02-26,pending
371,673,2025-10-10,pending
372,380,2025-04-17,shipped
373,309,2025-07-12,pending
374,484,2025-09-27,shipped
375,319,2025-08-10,completed
376,862,2025-12-19,pending
377,633,2026-02-25,completed
378,8,2026-02-12,pending
379,653,2026-01-20,pending
380,591,2025-07-25,pending
381,878,2025-05-19,completed
382,424,2026-03-02,shipped
383,594,2025-10-14,shipped
384,180,2026-03-05,pending
385,412,2026-01-28,shipped
386,768,2025-10-23,pending
387,1000,2025-09-20,shipped
388,772,2025-11-30,pending
389,424,2025-03-30,pending
390,33,2026-02-06,shipped
391,936,2025-05-09,pending
392,762,2025-07-12,completed
393,305,2025-05-23,pending
394,329,2025-10-11,shipped
395,710,2025-08-21,completed
396,987,2026-01-02,pending
397,195,2026-01-10,shipped
398,979,2025-05-12,shipped
399,41,2025-12-15,pending
400,566,2025-11-04,pending
401,406,2026-03-06,shipped
402,347,2025-10-20,completed
403,967,2025-06-25,completed
404,83,2025-03-21,completed
405,668,2025-03-29,pending
406,499,2025-06-06,completed
407,938,2025-12-24,shipped
408,748,2025-09-12,shipped
409,841,2025-08-13,shipped
410,482,2026-01-12,shipped
411,869,2025-07-18,completed
412,343,2026-02-11,pending
413,176,2026-01-16,pending
414,786,2025-05-28,pending
415,62,2026-02-15,completed
416,556,2025-05-20,pending
417,529,2025-05-28,pending
418,730,2025-05-20,completed
419,484,2025-11-08,completed
420,198,2025-06-12,pending
421,183,2025-12-10,pending
422,188,2025-09-25,pending
423,203,2025-05-20,pending
424,915,2025-11-19,shipped
425,591,2026-01-16,completed
426,904,2025-10-02,shipped
427,606,2025-06-04,pending
428,530,2025-11-12,completed
429,836,2026-02-12,pending
430,902,2026-01-19,shipped
431,294,2025-12-30,completed
432,487,2026-01-24,shipped
433,302,2026-02-22,completed
434,247,2025-05-07,shipped
435,463,2025-04-04,completed
436,342,2025-06-05,pending
437,80,2025-08-02,completed
438,851,2025-09-02,completed
439,201,2025-09-06,pending
440,697,2025-10-21,pending
441,314,2026-03-02,shipped
442,321,2025-04-15,completed
443,546,2025-06-24,shipped
444,4,2026-02-23,shipped
445,887,2025-11-26,completed
446,79,2025-07-21,pending
447,400,2025-10-21,shipped
448,603,2025-07-29,shipped
449,416,2025-06-21,shipped
450,917,2025-07-31,shipped
451,689,2025-04-20,completed
452,830,2025-11-17,shipped
453,905,2025-09-29,shipped
454,476,2025-06-11,pending
455,793,2025-12-17,shipped
456,992,2025-06-13,completed
457,13,2026-02-03,shipped
458,383,2025-05-21,pending
459,698,2025-07-21,shipped
460,144,2025-08-21,pending
461,490,2025-11-11,pending
462,552,2025-05-02,shipped
463,764,2025-10-12,completed
464,128,2025-04-23,pending
465,866,2025-12-12,pending
466,907,2025-05-29,completed
467,34,2025-09-26,pending
468,209,2025-08-23,shipped
469,188,2025-09-27,completed
470,317,2025-06-24,pending
471,736,2025-04-10,completed
472,827,2025-06-16,pending
473,471,2026-01-23,completed
474,932,2025-12-20,shipped
475,723,2025-05-04,shipped
476,464,2025-06-16,shipped
477,386,2025-10-26,shipped
478,238,2025-05-24,completed
479,648,2026-03-02,pending
480,725,2026-02-07,pending
481,8,2026-01-07,completed
482,387,2025-04-24,pending
483,517,2025-11-29,completed
484,544,2025-11-15,shipped
485,110,2025-09-10,shipped
486,213,2025-04-23,completed
487,634,2025-06-04,pending
488,756,2026-03-07,pending
489,444,2025-03-18,shipped
490,447,2025-06-20,shipped
491,696,2025-09-20,completed
492,786,2025-11-23,shipped
493,116,2025-04-29,completed
494,334,2025-12-27,pending
495,927,2025-03-31,completed
496,960,2026-01-29,pending
497,184,2025-04-06,completed
498,278,2025-08-24,completed
499,870,2026-02-23,completed
500,704,2025-10-13,pending
501,313,2025-07-24,completed
502,375,2025-12-14,shipped
503,142,2025-09-28,shipped
504,846,2025-12-07,pending
505,955,2025-04-01,shipped
506,276,2025-09-05,pending
507,950,2025-07-15,completed
508,459,2026-01-04,completed
509,663,2025-10-28,pending
510,496,2026-02-25,pending
511,70,2025-04-16,completed
512,346,2025-05-07,completed
513,554,2025-06-05,shipped
514,6,2025-04-30,pending
515,849,2026-02-25,pending
516,648,2025-06-18,completed
517,679,2025-06-13,pending
518,725,2026-02-10,shipped
519,528,2025-03-11,completed
520,770,2025-11-16,completed
521,688,2025-04-25,completed
522,648,2026-01-04,completed
523,313,2025-12-27,shipped
524,884,2025-07-07,pending
525,978,2025-11-22,completed
526,566,2025-07-05,completed
527,391,2025-08-25,shipped
528,111,2026-03-09,shipped
529,692,2025-06-08,pending
530,280,2025-10-27,pending
531,672,2025-12-27,pending
532,280,2025-11-06,shipped
533,399,2026-01-22,pending
534,734,2025-10-03,shipped
535,548,2025-08-27,shipped
536,429,2025-06-04,completed
537,852,2025-09-01,pending
538,799,2025-12-21,shipped
539,768,2026-02-12,completed
540,877,2025-11-24,completed
541,496,2025-12-12,shipped
542,709,2025-09-24,completed
543,823,2026-02-16,completed
544,627,2025-05-28,pending
545,886,2025-09-26,shipped
546,194,2025-06-11,completed
547,764,2025-10-10,completed
548,536,2025-11-09,shipped
549,615,2026-01-18,completed
550,950,2026-03-05,pending
551,520,2025-12-30,shipped
552,884,2026-01-25,pending
553,222,2025-12-18,completed
554,87,2025-12-12,shipped
555,646,2025-09-23,shipped
556,425,2025-06-08,completed
557,161,2026-03-02,completed
558,147,2025-08-12,shipped
559,303,2026-03-02,shipped
560,999,2025-03-15,shipped
561,193,2025-09-27,shipped
562,436,2025-11-16,shipped
563,209,2025-09-09,pending
564,117,2025-10-09,completed
565,139,2025-06-03,shipped
566,525,2026-01-12,pending
567,189,2025-09-06,completed
568,58,2025-10-25,shipped
569,362,2026-01-31,pending
570,40,2025-06-08,completed
